

Results from heasarc_fermigbrst: Fermi GBM Burst Catalog
Coordinate system:  Equatorial
|name        |ra        |dec      |t90     |
|GRB140323433|23 47 50.2|-79 54 18| 111.426|
|GRB100325246|13 56 33.6|-79 06 00|   8.192|
|GRB100507577|00 11 36.0|-79 00 36|  44.033|
|GRB140518709|16 16 09.6|-77 51 36|   0.704|
|GRB130623488|01 22 53.5|-77 47 02|  22.272|
|GRB141004150|02 01 45.6|-77 18 00|   9.472|
|GRB101024486|04 26 01.5|-77 15 53|  20.224|
|GRB110716018|21 58 43.2|-76 58 48|   7.168|
|GRB130420422|07 48 14.4|-69 01 48|  27.328|
|GRB081226044|08 02 00.0|-69 00 00|   0.832|
|GRB171024977|14 02 07.2|-68 54 36|  35.072|
|GRB090411838|10 24 00.0|-68 54 00|  21.501|
|GRB160716144|12 38 26.4|-68 02 24|  28.928|
|GRB090719063|22 45 04.8|-67 51 36|  11.392|
|GRB100605774|18 13 43.2|-67 36 00|   8.192|
|GRB110316139|03 06 48.0|-67 34 48|   2.944|
|GRB081006604|09 28 00.0|-67 24 00|   6.400|
|GRB120711115|06 18 45.6|-71 00 00|  44.033|
|GRB090927422|22 55 48.0|-70 58 48|   0.512|
|GRB140616165|06 59 45.6|-70 30 36|   0.512|
|GRB090606471|09 47 45.6|-70 29 24|   8.064|
|GRB130505955|22 57 52.8|-70 28 12|  50.241|
|GRB171020813|15 38 24.0|-70 09 36|  19.200|
|GRB080717543|09 49 12.0|-70 00 00|  36.608|
|GRB100429999|05 56 21.6|-69 57 36|  25.024|
|GRB120107384|16 25 36.0|-69 55 48|  23.040|
|GRB141022061|16 07 36.2|-72 07 44|  11.520|
|GRB170113420|04 06 56.4|-71 55 59|  49.152|
|GRB120827216|14 50 57.6|-71 53 24|   5.056|
|GRB100517639|03 30 55.2|-71 52 12|   5.440|
|GRB090802666|17 48 04.8|-71 46 12|  27.520|
|GRB110618366|11 47 13.9|-71 41 17| 163.843|
|GRB090516137|08 08 48.0|-71 37 12| 118.018|
|GRB130320560|13 02 09.4|-71 15 32| 352.768|
|GRB091117080|16 26 09.6|-73 56 24| 113.664|
|GRB110517453|19 44 21.6|-73 45 36|   0.576|
|GRB170304003|22 02 00.0|-73 45 36|   0.160|
|GRB140712973|05 33 55.2|-73 37 12|  28.160|
|GRB090304216|13 03 36.0|-73 24 00|   2.816|
|GRB151026523|07 09 33.6|-73 19 12|  63.232|
|GRB160625230|20 58 07.2|-73 15 36|  43.265|
|GRB100604287|16 33 12.0|-73 11 24|  13.440|
|GRB130727698|22 03 11.8|-65 32 18|  12.992|
|GRB101023951|21 11 52.8|-65 23 09|  76.801|
|GRB170827818|03 15 09.6|-65 22 48|   0.832|
|GRB161105417|16 37 00.0|-65 13 00|  41.473|
|GRB170210116|15 04 13.2|-65 06 04|  71.425|
|GRB090602564|16 35 45.6|-65 01 12|  20.736|
|GRB090924625|04 38 55.2|-65 01 12|   0.352|
|GRB110411629|14 01 12.0|-64 59 24|  23.552|
|GRB151003729|04 01 21.6|-66 22 12|  44.032|
|GRB090926181|23 33 36.2|-66 19 26|  13.760|
|GRB150628767|23 08 04.8|-66 10 48|   0.640|
|GRB120919816|20 14 07.2|-66 09 36|  20.480|
|GRB101011707|03 13 12.0|-65 54 00|  36.352|
|GRB090625560|00 09 02.8|-65 46 49|  11.776|
|GRB160303971|20 08 48.0|-65 40 48|  27.136|
|GRB120426090|07 26 08.9|-65 37 52|   2.880|
|GRB140612294|17 49 31.2|-64 06 36|  38.913|
|GRB151117442|01 18 33.6|-64 06 00|  58.561|
|GRB150204272|10 40 57.8|-64 02 35|  11.008|
|GRB110818860|21 09 20.9|-63 58 52|  67.073|
|GRB170127067|22 37 19.2|-63 56 24|   0.208|
|GRB140508179|23 22 07.2|-63 46 48|  19.456|
|GRB130523198|02 37 57.6|-63 04 12|   5.376|
|GRB131105087|04 44 02.6|-62 58 52| 112.642|
|GRB150301818|05 56 37.7|-57 58 37|  13.312|
|GRB090510325|17 57 36.0|-57 54 00|   7.424|
|GRB150821406|22 47 39.1|-57 53 39| 103.426|
|GRB140330180|21 52 16.3|-57 44 42|  34.049|
|GRB091031500|04 46 48.0|-57 30 00|  33.921|
|GRB081008832|18 40 00.0|-57 24 00| 150.015|
|GRB120220210|13 44 31.2|-57 21 36|  21.248|
|GRB141222298|11 52 09.6|-57 21 00|   2.752|
|GRB140716436|07 12 41.5|-60 10 33| 168.253|
|GRB130701060|06 31 09.6|-60 07 48|  20.224|
|GRB130617564|04 58 55.2|-60 03 36|   0.768|
|GRB160912350|12 13 09.6|-60 02 24|  32.705|
|GRB150827785|04 33 12.0|-60 00 00|  10.496|
|GRB171112868|01 21 52.1|-59 40 41| 145.152|
|GRB120909070|18 22 57.6|-59 27 00| 112.066|
|GRB100225115|20 41 12.0|-59 24 00|  12.992|
|GRB140115863|14 00 07.2|-61 24 36|  14.909|
|GRB120119229|09 18 36.0|-61 19 48|  41.728|
|GRB080719529|10 12 48.0|-61 18 00|  16.128|
|GRB120304061|08 28 36.0|-61 07 12|   9.984|
|GRB081006872|11 28 48.0|-61 00 00|   3.328|
|GRB150514774|04 59 24.0|-60 54 36|  10.813|
|GRB091231206|13 17 26.4|-60 42 00|  42.561|
|GRB161106786|18 58 07.2|-60 39 00|  12.544|
|GRB160223670|01 12 26.4|-48 32 24| 288.005|
|GRB150820880|17 14 36.0|-48 19 48|   5.888|
|GRB130919985|16 08 52.8|-48 17 24|  17.408|
|GRB160227831|08 13 43.2|-48 16 12|   7.680|
|GRB120212353|20 13 36.0|-48 06 00|   0.864|
|GRB150322066|08 23 21.6|-48 03 00|  15.613|
|GRB151114645|04 08 33.6|-47 54 00|  34.816|
|GRB100204024|03 23 07.2|-47 53 24| 136.195|
|GRB090805622|20 00 06.5|-50 50 41|  46.592|
|GRB160905471|10 48 58.8|-50 48 05|  33.537|
|GRB110706477|06 16 36.0|-50 46 12|  73.217|
|GRB081215880|15 14 24.0|-50 42 00|   7.680|
|GRB150922883|18 16 33.6|-50 28 12|   2.816|
|GRB140608153|10 04 52.8|-50 15 36|  71.681|
|GRB091207333|00 50 40.8|-50 11 24|  27.073|
|GRB120709883|21 13 36.0|-50 06 00|  27.328|
|GRB120304248|18 29 07.2|-46 13 12|   5.376|
|GRB110125894|22 05 24.0|-46 12 36|   4.800|
|GRB150222450|11 21 12.0|-46 12 00|  65.281|
|GRB100718160|08 07 19.2|-46 10 48|  32.641|
|GRB161128216|17 29 43.2|-46 03 00|   6.912|
|GRB100918863|20 33 38.4|-45 57 36|  86.017|
|GRB170402961|20 31 40.8|-45 55 48|  22.528|
|GRB120728434|06 55 05.3|-45 53 35| 100.481|
|GRB130906435|18 37 33.6|-53 22 48|   8.192|
|GRB080804972|21 54 48.0|-53 12 00|  24.704|
|GRB100204566|18 12 16.8|-52 46 48|  32.513|
|GRB141215560|11 56 13.4|-52 44 42|  11.264|
|GRB120521380|13 08 03.8|-52 44 31|  91.134|
|GRB100313288|11 30 50.4|-52 34 48|  12.864|
|GRB141122875|18 42 26.4|-52 31 12|  30.720|
|GRB150508945|03 03 43.2|-52 27 00| 113.920|
|GRB161020024|10 44 07.4|-54 46 07|  12.288|
|GRB100715477|19 57 04.8|-54 42 36|  14.848|
|GRB081109293|22 03 12.0|-54 42 00|  58.369|
|GRB120728934|09 08 22.8|-54 26 18|  32.768|
|GRB160513553|18 14 16.8|-54 25 12|   1.664|
|GRB171010875|02 16 29.5|-54 24 36|  25.344|
|GRB100201588|07 42 40.8|-54 21 00| 122.114|
|GRB090308734|01 27 36.0|-54 18 00|   1.664|
|GRB130515056|18 53 41.3|-54 16 52|   0.256|
|GRB111009282|12 12 09.6|-56 49 12|  20.736|
|GRB150824079|11 10 12.0|-56 46 01|  13.568|
|GRB090519462|07 03 36.0|-56 42 00|  91.329|
|GRB080916009|07 59 12.0|-56 36 00|  62.977|
|GRB100825287|16 53 45.6|-56 34 12|   3.328|
|GRB120316008|03 48 03.8|-56 17 17|  26.624|
|GRB161228388|17 22 40.8|-56 03 36|  72.704|
|GRB111220486|17 50 24.0|-56 03 00|  39.041|
|GRB141011467|17 17 31.2|-43 00 00|  12.029|
|GRB150324164|12 03 14.4|-42 43 12|   4.608|
|GRB151210041|19 35 52.8|-42 42 00|  37.633|
|GRB121109338|00 27 21.6|-42 34 12|  22.144|
|GRB080823363|05 59 12.0|-42 24 00|  43.456|
|GRB130404840|09 46 19.2|-42 09 36|  34.561|
|GRB090610723|18 23 57.6|-42 05 24| 144.896|
|GRB090701225|07 38 45.6|-42 04 12|   4.160|
|GRB150418819|20 49 43.2|-43 31 48|   3.840|
|GRB120719146|13 37 09.6|-43 27 00|  75.009|
|GRB081118876|03 38 24.0|-43 18 00|  20.736|
|GRB090320045|07 13 12.0|-43 18 00|   2.368|
|GRB090623107|20 36 00.0|-43 14 24|  47.105|
|GRB111103948|13 26 19.2|-43 09 36|   0.320|
|GRB090620901|16 05 31.2|-43 01 12|   0.960|
|GRB090227310|00 13 12.0|-43 00 00|  16.189|
|GRB110511616|14 16 24.0|-45 25 12|   5.888|
|GRB170301812|18 34 12.0|-45 22 48|  12.544|
|GRB120323162|14 04 24.0|-45 13 48|   4.352|
|GRB170424425|22 54 07.2|-45 12 00|  53.249|
|GRB111024722|10 50 57.6|-44 56 24|  68.609|
|GRB120611108|21 38 43.2|-44 47 24|  49.921|
|GRB150305724|15 00 28.8|-44 44 24|  16.128|
|GRB140817229|01 56 12.0|-44 28 48|  26.112|
|GRB110817191|22 24 09.6|-45 50 24|   5.949|
|GRB141112539|01 09 36.0|-45 48 36| 335.876|
|GRB090427644|14 00 00.0|-45 42 00|   1.024|
|GRB120701654|12 10 55.2|-45 42 00|   1.024|
|GRB110228011|00 41 04.8|-45 40 12|  44.481|
|GRB120926753|01 38 26.4|-45 34 48|   3.072|
|GRB120919309|14 19 04.3|-45 33 50|  21.248|
|GRB120319983|04 39 24.0|-45 26 24|  72.448|
|GRB150523396|07 41 08.6|-45 25 15|  82.433|
|GRB161119633|03 08 45.6|-47 12 36|  77.824|
|GRB170906030|13 35 49.2|-47 06 03|  78.849|
|GRB141102536|13 54 27.4|-47 06 00|   2.624|
|GRB090706283|13 40 16.8|-47 04 12| 119.810|
|GRB171119992|09 02 02.4|-46 59 24|  26.369|
|GRB170115743|12 36 28.8|-46 51 00|  44.288|
|GRB170208758|11 06 15.4|-46 46 03|   7.168|
|GRB150604284|20 25 04.8|-46 43 12|  52.736|
|GRB121225417|20 41 48.0|-34 49 48|  58.497|
|GRB160225809|10 00 45.6|-34 42 36|  64.257|
|GRB100910818|15 52 24.0|-34 37 12|  13.824|
|GRB090427688|23 44 48.0|-34 36 00|  12.288|
|GRB101219686|00 48 55.3|-34 33 58|  51.009|
|GRB120707800|19 24 14.4|-34 26 24|  40.960|
|GRB110409179|15 54 48.0|-34 19 12|   0.128|
|GRB090310189|12 19 36.0|-34 12 00| 116.930|
|GRB140430716|09 45 31.2|-36 52 48|  26.368|
|GRB091112737|17 10 54.7|-36 42 54|  24.576|
|GRB140911012|08 33 33.6|-36 33 36| 116.736|
|GRB120222119|22 40 00.0|-36 24 36|  29.440|
|GRB090718762|18 16 28.8|-36 23 24|  23.744|
|GRB140110263|01 55 36.0|-36 15 36|   9.472|
